"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"PUNCTUALITY","15.2","Time lag existing between the actual delivery date of statistical outputs and the target date when they should have been delivered, for instance, with reference to dates announced in an official public release calendar or previously agreed among partners.
When a target date of dissemination is set by FAO, a quantitative measure of punctuality should be provided here as per FAO Statistical Standard on Quality indicators for external users .","Punctuality","Puntualidad","Ponctualité"
"COHER_COMPAR","16","Coherence is the adequacy of the statistical outputs to be meaningfully combined in different ways and for various uses.
Comparability refers to the extent to which differences between different geographical areas, non-geographical domains, or over time, can be attributed to differences between the true values of the statistical characteristics.
(Information relating to this concept is provided by reporting on its sub-concepts)","Coherence and comparability","Coherencia y comparabilidad","Cohérence et comparabilité"
"COMPAR_GEO","16.1","Extent to which statistics are comparable between geographical areas, countries or regions. It includes the description of the reasons of problems and as well the order of magnitude of the effects of the main sources of errors.
It refers to the degree of comparability between similar results measuring the same phenomenon across geographical areas or regions (e.g. There is limited geographical comparability due to differences between countries in methods and coverage; e.g. Worldwide geographical comparison is possible; e.g. Data are mostly comparable over countries and regions).","Comparability - geographical","Comparabilidad - geográfica","Comparabilité - géographique"
"COMPAR_TIME","16.2","Extent to which statistics are comparable or reconcilable over time. It provides information on the length of comparable time series, reference periods at which series breaks occur, the reasons for the breaks and treatments of them (e.g. For short time periods, reasonably good comparability over time can be expected, as there is stability in the product definition and classification. However, as the time series are very long (from 1955) full comparability over time is impossible).
Additionally, provide information about the comparability over time of the methods used to produce the data; the stability of the data access, and the changes in the covered population over time give also an assessment of how the over time comparability of the data will develop in the future.
Finally, as per FAO Statistical Standard on Quality indicators for external users , this field should include a quantitative measure of comparability (number of comparable data items in time series).","Comparability - over time","Comparabilidad - temporal","Comparabilité - temporelle"
"COHERENCE","16.3","Coherence is the adequacy of the statistical outputs to be meaningfully combined in different ways and for various uses.
For this sub-concept, information should be provided on the extent to which statistics are reconcilable with those obtained through other data sources or statistical domains and extent to which the statistics are consistent within a given data set.

As per FAO Statistical Standard on Quality indicators for external users , this field should include quantitative measures of differences or relative differences in the statistical results calculated on the basis of different statistical domains based on different methodologies.","Coherence","Coherencia","Cohérence"
"CLASS_SYSTEM","16.4","List of classification(s) used, and description of how these conform to internationally agreed standards. 
When relevant, deviations from international standard classifications should be documented. In particular, deviations from international classifications caused by the use of a particular data sources (e.g. a big data source) should be explained. 

A weblink reference to the classification should be included if available.","Classification system","Sistema de clasificación","Système de classification"
"STAT_PROCESS","17","(Information relating to this concept is provided by reporting on its sub-concepts)","Statistical process","Proceso estadístico","Processus statistique"
"SOURCE_TYPE","17.1","Characteristics and components of the statistical data used by FAO for compiling statistical aggregates from national primary statistics and also organizations. This is used to indicate whether the data set is based on a survey, on administrative data sources, on a mix of multiple data sources or on data from other statistical activities (e.g. The main national data sources are normally sample surveys, censuses and sometimes administrative sources. Other sources of the primary data are organizations).
Only if available and relevant some sample characteristics sample surveys should also be given (e.g. gross and net sample size, type of sampling design, reporting domain etc.). If administrative registers are used, the description of registers should be given (source, year, primary purpose, potential deficiencies etc.). Description should be given at the level of FAO data collection not each country specific situation.
A reference to the SSS on the use of external data sources  could be included for datasets using external data sources identified in the standards: 
Some of the data contained in this statistical domain were sourced from [Data source name] based on FAO Standards on use of external sources available at: https://www.fao.org/3/cb9343en/cb9343en.pdf.

For datasets sourced from a third party (e.g. COMTRADE, OECD, ILO or other FAOSTAT datasets), cite the data sources using FAOSTYLE:
Author. Year of last update. Name of database: Name of dataset OR Name of database. [Accessed on DD Month YYYY]. URL. Licence: CC Licence (or link to copyright notice)","Source data","Fuente de datos","Source de données"
"FREQ_COLL","17.2","Time interval at which the source data are collected/acquired by FAO. This is used to indicate the frequency of data collection/acquisition and recording (e.g. monthly, quarterly, annually, continuous).","Frequency of data collection and acquisition","Frecuencia de recopilación y adquisición de datos","Fréquence de collecte et d'acquisition des données"
"COLL_METHOD","17.3","Method applied by FAO for gathering data for official statistics. Description of data collection methods used, including computer assisted interviewing (CAPI/CAWI), on-line surveys, mailed questionnaires administrative data sources, web-scraping and crowdsourcing sources (e.g. national data are collection through questionnaires that are automatically generated by the FAO Statistical Working System).
A reference to FAO Statistical Standard on collecting data from national institutions  should be included.
For non-statistical data sources (including Big Data):
•	Describe the methods used for data acquisition and recording, including methods used by data providers/third parties if data were acquired through data sharing agreements.
•	Add or specify where to find the hyperlink(s) of web data used, or add name of the API used to collect the data (when relevant)","Data collection method","Método de recopilación de datos","Méthode de collecte des données"
