"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"1100500316","2062","Pelagic stingray","Pastenague violette","Raya-látigo violeta","","","","Dasyatis violacea","(Bonaparte 1832)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11008XXXXX","2063","Mantas, devil rays nei","Mantes, diables de mer nca","Mantas, diablos nep","","","","Mobulidae","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"111XXXXXXX","2064","Electric rays, etc. nei","Torpilles, raies él., etc. nca","Torpedos, rayas eléctricas nep","","","","Torpediniformes","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11101002XX","2065","Torpedo rays","Torpilles","Tremolinas","","","","Torpedo spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1120100401","2066","Spotted ratfish","Chimère d'Amérique","Quimera americana","","","","Hydrolagus colliei","(Lay & Bennett 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11202002XX","2067","Longnose chimaeras","Chimères spatules","Quimeras-trompudo","خُرافات مِسوَطات","扁吻银鲛属一种","","Harriotta spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"11701XXXXX","2069","Sturgeons nei","Esturgeons nca","Esturiones nep","","鲟类","Осетровые","Acipenseridae","","PISCES","Fish, crustaceans and molluscs, etc.","Sturgeons, paddlefishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1170100104","2070","Sterlet sturgeon","Sterlet","Esterlete","","小体鲟","Стерлядь","Acipenser ruthenus","Linnaeus 1758","PISCES","Fish, crustaceans and molluscs, etc.","Sturgeons, paddlefishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1170100105","2071","Starry sturgeon","Esturgeon étoilé","Esturión estrellado","","闪光鲟","Севрюга","Acipenser stellatus","Pallas 1771","PISCES","Fish, crustaceans and molluscs, etc.","Sturgeons, paddlefishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1170100501","2072","Beluga","Béluga","Esturión beluga","","欧洲鳇","Белуга","Huso huso","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sturgeons, paddlefishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"121XXXXXXX020","2073","Clupeoids nei","Clupéoidés nca","Clupeoideos nep","","","Сельдевые","Clupeoidei","","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
