"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"COH","(Walbaum 1792)","SALMONIDAE","2118","23","سلمون فِضِّي","银大麻哈鱼","Coho(=Silver) salmon","Salmón plateado","Saumon argenté","Кижуч","SALMONIFORMES (SALMONOIDEI)","Oncorhynchus kisutch","23142101002208000","142101002208","t"
"CHR","","SALMONIDAE","2119","23","","","Chars NEI","Salvelinos NEP","Ombles NCA","","SALMONIFORMES (SALMONOIDEI)","Salvelinus spp","23142101004200000","1421010042XX","t"
"ACH","(Linnaeus 1758)","SALMONIDAE","2120","23","","瑞士紅點鮭","Arctic char","Trucha alpina","Omble-chevalier","Голец арктический","SALMONIFORMES (SALMONOIDEI)","Salvelinus alpinus","23142101004201000","142101004201","t"
"LAT","(Walbaum 1792)","SALMONIDAE","2121","23","أومبل كندا او تروتة الضاية","湖红点鲑","Lake trout(=Char)","Trucha lacustre","Touladi(=Omble du Canada)","","SALMONIFORMES (SALMONOIDEI)","Salvelinus namaycush","23142101004206000","142101004206","t"
"TLV","(Linnaeus 1758)","SALMONIDAE","2122","23","","","Grayling","Tímalo","Ombre commun","Хариус обыкновенный","SALMONIFORMES (SALMONOIDEI)","Thymallus thymallus","23142101005403000","142101005403","t"
"TLA","(Pallas 1776)","SALMONIDAE","2123","23","شِفْش قُطبي","北极茴鱼","Arctic grayling","Tímalo ártico","Ombre arctique","","SALMONIFORMES (SALMONOIDEI)","Thymallus arcticus","23142101005401000","142101005401","t"
"PCA","(Temminck & Schlegel 1846)","PLECOGLOSSIDAE","2124","23","سمك ليِّن أيو","香鱼","Ayu sweetfish","Ayu","Ayu","Айю","OSMERIFORMES","Plecoglossus altivelis","23143502101001000","143502101001","t"
"SMX","","OSMERIDAE","2125","23","","","Smelts NEI","Eperlanos NEP","Éperlans NCA","Корюшки","OSMERIFORMES","Osmerus spp, Hypomesus spp","23143501100000030","1435011XXXXX030","t"
"CAP","(Müller 1776)","OSMERIDAE","2126","37","","毛鳞鱼","Capelin","Capelán","Capelan","Мойва","OSMERIFORMES","Mallotus villosus","37143501101801000","143501101801","t"
"SME","(Linnaeus 1758)","OSMERIDAE","2127","23","","","European smelt","Eperlano europeo","Éperlan européen","Корюшка европейская","OSMERIFORMES","Osmerus eperlanus","23143501102201000","143501102201","t"
